text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29963,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7486,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,778,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18770,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26634,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29445,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1959,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29471,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,21334,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13737,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,22940,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20207,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,12027,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10516,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1017,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24289,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14288,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,3295,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26369,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30062,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17063,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17981,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27272,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26561,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30000,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,9032,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11719,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8544,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24416,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1791,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,21811,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13770,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14024,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1681,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26817,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6696,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20517,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8887,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24025,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,15998,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20603,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17659,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25334,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24543,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11835,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10602,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,9487,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14070,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30113,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6552,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30917,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13365,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,805,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29845,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1187,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,12470,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20916,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,15916,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19747,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14430,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30769,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,31335,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20112,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27300,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27115,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18240,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,32520,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25917,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14105,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24431,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7168,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11518,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30374,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7206,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,229,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6775,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14103,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,31488,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,14308,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,23758,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17177,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18195,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,16812,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7357,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,32620,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1646,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10413,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,28299,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2347,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20921,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11091,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,21818,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29808,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10459,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,12653,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18941,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,715,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,22014,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5363,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29846,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30814,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8185,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25353,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,22791,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6586,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6435,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,9793,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10746,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,3434,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6797,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25036,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,23574,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,12500,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,7679,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6890,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,23832,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,9946,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,9817,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17300,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13375,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24309,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,3896,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,32255,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19373,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19709,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1254,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1376,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17801,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25628,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19730,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18631,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17618,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20190,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,31102,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6522,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20768,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20073,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,23304,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27324,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20612,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8496,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2648,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6926,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27270,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,314,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18852,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24176,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,28141,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26582,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1444,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10315,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,30613,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26496,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19236,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,19255,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,5585,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,26727,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2503,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,1054,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17117,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,29697,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,20685,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,24072,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,10072,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2485,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6988,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,2395,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,23024,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,12877,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,6199,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,27680,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,13914,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,25064,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,323,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,8577,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,17857,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,28064,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,18106,-1.0,0.0,-1,-1.0,-1.0
 \left| \gamma_1/\lambda_1 \right|^2 + \left| \gamma_2/\lambda_2 \right|^2<< >>>,11859,-1.0,0.0,-1,-1.0,-1.0
